评论内容,观点词
"书是新的,就是被挤压过留有痕迹。纸张还好,总体来说还是不错的,价格很便宜。",挺好的
很大本书。孩子很喜欢。好玩。可以跟着图来盖。,乐高好玩
"第一天喷,朋友都闻到香味了,说这种味道还可以接受,后面慢慢就适应了,很喜欢,绝对5星,几十块的东西,值了","香味很持久,喜欢"
"是老师推荐我们买的,读了之后感觉不错,支持李开复!",是本好书!
"这是本很值得看的书,故事情节很好!",蔡骏谜
"涨价了,真二啊!!!",怒
"如题,内容理论性比较强,行外人读会觉得很艰涩",内容比较理论
"朋友的结婚礼物。物超所值,朋友收到的时候也很喜欢!",礼品
"这本翻译教程真的很不错,很基础,也很难",很不错的书
"质量不错,排版也比较适合阅读",好书
"书的内容不是全部的,而是节选的","书的内容不是全部的,而是节选的"
"纸薄,质感不太好,封面还是脏的,本来就是浅颜色的封皮,看着就很不舒服了。",《宏观政治学》
"给老爸买的,入手后自己玩了2天,还行,玩游戏,看电影业不卡,音效不错,续航能力还可以,连续看在线看电影能达到5-6个小时。 就是电池百分比有点奇怪,有的时候需要重启才能显示正确的电量。",刚入手的心得
"我先买了一本给阿姨看 阿姨说很好,比较实用,按里面介绍的每天都坚持做 例如敲胆经呀,什么的 然后我就又订购了两本,一个是带光盘的 一个是不带的 不过现在我还没有看光盘 带光盘的邮给妈妈了,老妈也说很好",觉得很好
"兰登书屋的神气书屋系列选题新颖,英文浅显,知识性和趣味性都很强,不仅适合少年儿童读者,对成年人开拓知识视野也很有帮助.","浅显易懂,老少皆宜"
"内容很不错,有原诗有注释还有评析,都很专业,很喜欢。",很不错的本子
"图文并茂,正版好书,受益匪浅",很好
"内容还没研究,外表挺不错",OK
"帮同事的孩子买的,到手后随便翻了翻,感觉适合小班及再小点的孩子看,画面简单干净,孩子很好理解。",跳过小水坑
"总体还不错,但触摸面板还可以设计得更亮一些。",不错的电饭煲
"书很好,内容值得一看",书很好
"莎士比亚全集,朱生豪先生译的,一直是我所想要的。朱先生的译本确实是国内译本中最贴近原著风格,读来让你充分感受到了原著语言的优美和大师的才华。而且确实通俗易懂,很棒!现在再看莎翁的作品,你会对人生有新的感悟。很值得收藏。","伟大的作品,百样的人生"
"一直对这个品牌印象不错。到手的东西感觉还不错。发货速度也快,支持!",不错
"是用在iPad2的。黑色是商务,大方。保护性很好也很贴合。 很实用! 就是休眠性没有。6颗磁铁感觉不到呢!(可以接受)",贴合!保护性好!
"the book in itself is really good, and the delivery was on time.",Very satisfied
"激励着女人们来装扮自己的美丽,懂得欣赏自身!",太好了!!
"很实用的好书,闺女快两岁了,里面的游戏她都很喜欢,推荐!","很实用,推荐!"
"比想象中方便,快捷。 当然,配送速度再快一点就更好了。","第一次在卓越网上购书,太棒了"
"我认为这本书不适合新手的原因是连基础工具都没介绍,直接就介绍画法,中间有一些专业工具我不知道是什么,还要自己上网查找。对于已经入门的人来说,应该是很不错的选择。","还没看碟,书只介绍了图案、椭圆笔的画法、一些图案的绘制过程,不适合新手"
"时间顺序不是很清晰,但内容详尽,作为了解的话,看看还不错,算是有意思的书。。",当代史
"出自对格兰仕的信任买了这个,烙出的饼很硬,都咬不动,别说是我的做法不对,同样的做法在利人的饼铛上就没事儿。退了。","烙出的饼很硬,换了利人200多那个好了很多。"
东西很不错~~一直用的都是za的,东西不错~
"不错,很喜欢闪迪的U盘",U盘
"商品没有包装,商家买的是否是正品? 建议 还是别买了 , 真心 有点坑",不尽人意啊
"像这些价位比较低的原版小说,名著等等,都采用了环保纸张,所以可能质量不是很好。就我了解,美国大多数这种类型的都是采用这种‘环保纸’。而像哈利波特等都采用了质量较高,纸张结识的同时有很轻便的较贵的纸张。 因此请读者想清楚再买。是支持环保还是想收藏善本?",纠正部分读者的一个观点
"亚马逊的服务没得说,也不说大话,不是支持国货,就想看着便宜,没想到真的是便宜没好货,这款手机收到后反复换了三次,才换到一个可以用的。第一次在亚马逊购物,虽然是正品,但是质量太让人失望了。",服务尚好 手机换了三次
"这本书的题材确实很吸引人,但是内容真不咋地,叙述过于琐碎,没涉及什么重点,真正的口述内容也只有140面。应该说是唐先生比较失败的一本书。",不推荐
"送货很快,而且不用购买很多东西或者购买多少钱以上才能送货。",送货快
"总体来看,看第一本的时候感觉是爱不释手,但是看到第四本的时候就偶尔有无聊的感觉了,不知道是看多了这种风格没有了新鲜感,还是明朝的历史越来越没意思了,还是朱元璋时代好看,朱棣的时代也很精彩,后面的皇帝感觉都很枯燥,现在就期待着下一本早点出版,期望着张居正和崇祯的历史,希望有这两个人的时代能有意思",朱棣的精彩表演
"质量还行,就是颜色没有图片亮丽,有点显旧。",还好
用着还不错吧!各方面还都可以,东西不错
"这本书还不错呢,故事前后有很大的反差。书的质量本身也还可以,是精装",哎呦不错
"口味太甜,回味不大舒服!别的没发现什么太大不同!",太甜了
"牙膏的话,我没有太大感觉。",贵
"想为孩子做菜的妈妈们,都该买一本,这是一本特别的为妈妈和孩子定做的菜谱书,不止是做菜这么简单。",都该买一本!!!
感觉不适合自己。。。。很不自然  没有什么效果,不是很喜欢
"还可以买了三个,可是有一个的保温时间没有其他两个的久",可以吧
"这书的编辑绝对有脑子啊,搞了一套三本,起三个名字,其实内容都差不多,重复的,只是编排不同,买多了,只好送人。","纸张一般,内容重复。"
"这是第二次买啦,不错",好
"正版的,挺好,送货速度也快",全国翻译专业资格(水平)考试辅导丛书
"小巧,漂亮,价格便宜,速度未知,因为不懂,反正我用着挺好的!",很好
"为了bigbang学韩语,感觉书的编排挺合理的,巧记单词,实用!",bigbang is vip
"苏泊尔的锅很好,产品的包装也很好,而且送货很快",给力!!!!!
"这几本书我都很喜欢,客服服务也不错",评论
"還好了,一個人用不錯!質量如何時間證明",坑爹-昨天買了89今天就降到84
"暂时没用,不过看上去不错",包装不错
"我从来没看到过如此好看的书,然后还看了它的电影,看了多少次就哭了多少次 真的很好看!!! 而且这本书令我喜欢上了日本人,也就是里面的男主角,原本我很讨厌日本人,自从看了这本书之后,我才发现原来大家都是一样的,所以就改变了原来对日本人的看法 所以我极力推荐这本书 真是~~~~超好看滴~~~~!!!!一定要看哦!!!",The  best
"此书不错,可以读",很好
"用完二级后购买一级,继续使用!",很好
"不管涂什么颜色,不管涂不涂颜色,它都是亮点。",点亮双手
"还没细读,但浏览就发觉内容很实用亲切。","好书,"
"用了大半年,感觉还不错。挺方便,洗的也干净。",还不错
"看完了,准备送人哦。(当然没有折书页,嘿嘿) 漫画书嘛,纸质自然好了。 看起来是新印刷的,书外的一条宽纸带上面介绍星空的最新电影来着。 价格让人有点伤,买时28,昨天看了24,就把人难受着,唉。 结果今天一看,奔三了。 这价格能不忽高忽低吗? 受不了刺激的啊!",不错
"这本书写的真的很好,而且印刷也很棒",很喜欢
"文章都是比较简短的。要是能够在长一点点就好了。 快递慢了,不知道为什么。上次很第二天中午就到了。这次是第三天中午到的。",还行
没有异味……还算好用……奶粉倒出来倒的不是很干净……,多功能了……
"因为我的疏忽,订购的是0至7岁篇,因为自己的孩子已经13岁,所以收到书的时候直接送给了更需要它的朋友。",尚未细读
"不好意思啊~~~买回来,还没时间仔细看呢~~~~~~~大家可不要学我买回家当摆设——呵呵",呵呵
"很稀很稀的,用了没什么感觉",没什么感觉
"快递给力,书本印刷质量好,内容更是值得推荐一读。作者是个有思想的人,这本书不是要每个人都去开咖啡馆,而是鼓励大家有勇气追求自己的梦想,把梦想照进生活,去寻找属于自己的参差之美。",值得一读的好书
"买回来自己贴的,贴的不是很好,有几个气泡,整体还行吧",感觉还行
"这本书的题目起得不错,当时是为了孩子参加奥运英语比赛来买的它。 拿到手后,感觉内容和做得一般,属于应景性的作品吧。",平淡如茶
"还没有用,还不知道效果,不过第一次使用",第一次使用
"书是好书,印刷太差,有很多缺页。在亚马逊上买过一次盗版的《蛙》,你们给我退费了。没想到又买了这本缺页严重的书。我打算寄给吴官正。","书是好书,印刷太差,有很多缺页"
"小孩子喜欢看,老师推荐的",还行
"印刷质量一般,不过价格就在那儿",价格比较合适
"很喜欢《家有妙招》系列,为什么第3本现在还不进啊","很实用,很有意思"
"不用说,这电影和书都好,词汇量够大才行哦。我是一边翻字典一边看完的,虽然其实很多词汇你知道是没用的(例如花名,动物名),但发现你翻译懂了意思看小说觉得更精彩。辞藻艳丽的作家。",书是好书
"非专业人事,听着很顺耳,无杂音不错。",感觉不错
"味道不错,值得购买。。。",满意
"该书可以涵养性情。魏晋风度,虽不能至,心向往之。",解读魏晋风度的好书
"购买一天,正在研究,画质比卡片机好多了。","不错,正品,未开封。"
"买了不错.速度也快,就是没礼物送! 妈的英文看的懂,但是翻译出来就不知道什么意思了.",hen
"这书好旧哦,好像都给别人看过了,脏脏的,刚收到货还没有看,不知道内容怎样,如果是盗版的,那就太划不来了。。。",书太旧
"给朋友买的,自己没看过,据说还可以吧",还可以吧
"价格便宜,送货很快,很准时,使用很好,照片很清楚,傻瓜相机也需要看看说明书,摸索着才能照出好照片来,很满意的一次购物,美中不足的是网站的界面太花,不整洁,没有大网站的形象。",又好又便宜
"椅子结实,刚开始还担心不够结实呢。质量好的没得说,木板灰常光滑……好东西,值得信赖",灰常不错
"东西已收到,包装的很严密,物品完好",东西已收到
"清爽、吸收快,不会有肌研化妆水那种黏腻感~~",吸收快
"第一次购买,Win8开始不会用,现在用起来非常好用。",质量很好
"一直很想看的小说,但拿到手的时候发现居然是这么厚的一本,没耐性的朋友慎重考虑。",David Copperfield
能刷机成S4版本的就好了。,能刷机就太棒了。
"书的质量不错,朋友很喜欢,送礼不错",书不错
"本人刚学厨师,就买了这本书,觉得蛮好的。",好看
第二个入手了  还不错哈哈,第二个
虽然只有两本 可还是我心中的经典,好久了才来评。。
"书的纸质很差,内容也不详细,知识点都是很简略的带过,不具体。",不够实用
"女儿非常喜欢,80分",女儿非常喜欢
"详细讲述了石油化工的上中下游的关系,从宏观方面让人了解石化行业。",8错
"帮朋友买滴,送货很快,很好。","帮朋友买滴,送货很快,很好。"
"我就3,4个头戴式耳机,千元以下价位,要说的话,px200ii的做工和佩戴舒适都比这款好,声音各有所爱,现在才听了几个小时,但是新世纪音乐已经不错了,不过以后估计不会买akg了,就凭它的做工","适合冬天戴,做工没森海塞尔好,适合女声和新世纪"
"中国经济又到了一个新的十字路口,结构性与制度性矛盾凸显,数字则给我们最重要的提示。在庞杂而又陷阱重重的世纪节点,如何把握国际与国内的经济变幻?如何把脉中国产业经济的发展?如何洞悉中国社会与民生的真实状态?如何在激烈的企业竞争中率先领悟信息与智慧?如何展望行业发展的趋势?如何在湍急的经济漩涡中屹立不倒?相信《解读中国经济的80个指数》的出现很有可能在社会上掀起一股通过数字,理智看待中国经济及社会发展现状的思潮。",具有一定的知识性与可读性
"收到后,大略翻看翻看,各方面都还行,06年印刷,品相十成。不过从印刷年份次数上来看,此书热销度不如《史记》啊!但作为前四史,又属私人撰述,此书亦不可不读,不可不学! 常买中华书局的书,发现书局两家承印单位在印刷纸张及质量上瑞古优于白帆。",喜欢就买
"有点轻,线不够长,还算不错",还不错
"用着不错,这么贵的东西质量应该比淘宝便宜的好吧,感觉重复用个两三次还差不多,十五次只能是个梦想,平均下来,还是一个字:贵",太贵了
"朋友推荐的,自己看了也觉得很好",蓝宝书新日本语能力考试N2
首先 感谢卓越咯 我第一次网购 昨晚订的书 今天中午就收到了 好感动。然后说书 本人觉得 老贺的书内容还是有价值的 不过的字的颜色……把重点都凸没了 发现很多F都比较喜欢2011版 希望老贺下次改进啊……再说一次 买了这本书 我好高兴啊 我要好好学习 好好学习天天向上 哈哈哈,还不错
还可以哈。写论文用的。,不错的一本
"是正版,东西不错,支持卓越~","不错,很满意"
"学习古琴中,老师推荐的,不解释。",练习必备
"内容做作无比,排版想尽量掩饰,却反而暴露缺点,言之无情无物无神,竟然可以出版,是自费的吗?太没水准了,那编辑","非常空洞,这样也能出书?"
"书很不错,考上研究生了,而且是公费的,谢谢啦~","书很不错,考上研究生了,谢谢~"
适合小学生看!好!好好!爱不释手啊!,好!
"12月2号买的599元,现在是12月26号就变成460元了,有这么跳水的吗?还好不是买股票,性能一般,反应有点慢!性价比还算合理!",坑爹坑爹!!!!!!!!!!!!!!!!
"挺好用的,特别容易清洗",不错的电饭煲
"价格实惠,质量不错",好
"丫头说书做的很精致,太便宜了!认为买时一定要在这个网站订购!",丫头喜欢
"包装很好,书的内容也还不错,送货很快。只是书得内容不单是游记还有一些以日本为背景的短篇",关于《神奈川》
"非常好用,全家都喜欢!","非常好用,全家都喜欢"
"云南出版这本《封神演义》,印刷清晰、纸张厚实、字体较大、彩色插图精美,青少年特喜欢。",图文并茂、价廉物美
这整个就一个笔记本啊!!这能叫书么!!!都是空白的,坑爹啊
要是快递可以快点就完美了,不错
"对于考研的人来说,是一本宝书啊",很不错
"注意此书有两个版本,便宜的版本是2011年的软封平装本,书脊为绿色,贵的版本是2012年的硬封平装本,书脊为红色。我买了一套2012年的凉宫,不小心错买了一本2011版的,放到一起很难看,不得以又买了一本2012版的阴谋。想要买来收藏的一定要注意版本问题!",注意此书有两个版本
"请问是怎么问题 其他都还不错。 Instant On确实好用。2秒到登录界面。 风扇安静。 没有Office Suite。 拿到手后激活Win7,新品。 问题应该是Win7+Driver的问题。 还是给5星吧 现在发现没有蓝牙,太神奇的配置",运行某些安装程序时显示器会闪屏(全黑然后在显示安装界面)
"看着打折的时候买的,孩子喝了好几罐美素了,还可以的",不错的
"看前几页的时候觉得挺过瘾的,没想到突然一下结束变到另外一个情节上去了。 赶紧翻来一下才知道原来整本都是由一两页的独立的小故事组成的,只不过这些小故事和之前的长篇有点联系,基本是说这些小故事是作者写鬼吹灯的灵感来源。如果你有猎奇的心理,但又不求来龙去脉,或者就是粉丝想收藏就买吧,反正本人有点失望。",失望
"商家包装简单,书有折损",正版书
"很快到货,还不错,应该是正品吧",还不错
"好细腻的文字,绝对要买,生活处处散发着美和温馨",太好太好太好了
"我刚开始看就发现许些排版的问题,词语的顺序,错别字的情况有点多,这个怎么好,内容我觉得很好。","我刚开始看就发现许些排版的问题,词语的顺序,错别字的情况有点多,这个怎么好,内容我觉得很好。"
发货很快。。而且是正版。。质量很好,很好
"内容不错,但是书籍本身有粘连,虽然不是很影响阅读,但有些别扭",内容不错
"218购买的 很值这个价,性价比不错,300以下入门神器了",很不错
"有一段时间经常读,是一本经典的励志书。对于有宗教信仰的人而言,感觉可能更好!",很经典!
现在感觉还可以的。事实上,"还行吧,正在做这本书。"
"媳妇买的,买回来没用几次,还是不习惯的说","媳妇买的,买回来没用几次"
优点:速度好 看着就知道是正品才能做那么精细 缺点:诺基亚你凭什么卖那么贵 BS,收到了 超好
"喜欢阅读本书,阅读中。",专业工具书
"整本书虽然说得是逻辑,却感觉怎么也解释不清楚。不知是作者本身的原因,还是翻译的人没学好中文或英文的原因?",翻译的是中文吗?
"我是在校学生,平时背单词比较枯燥。现在有了它,边看边笑,单词也记得八九不离十。很有趣。",超级搞笑还很实用
"超喜欢这个洗面奶,每天晚上比用。表扬一下卓越的送货,用泡泡纸包的很严实。",超喜欢这个洗面奶。
"比较喜欢的一个系列了,第一部我看了很多遍",好
"对准妈咪来说是一本很看的书,特别是第一次做妈咪的。我看了一些满受益的。好厚一本要看好久的",很好的一本书
不错。跟《秘书笔记》有一拼了……,"跟《秘书笔记》一样,是本难得的好书!"
"包装袋有些大。 书的塑封破裂,书有些损伤,但是影响不大。 书的印刷倒没什么问题,但是感觉封面质量很差,一股盗版书的感觉。 内部纸张只能说一般,非常的一般,不过印刷挺清晰,排版也还好。 内容只看了三四页,所以不好说,但是克苏鲁神话的名气还是很大的。 文章的断句、标点符号感觉有些怪。","质量一般般,印刷还算清晰。"
"家庭书架的系列书都很不错 装帧是一个道理啦,而且白话文的部分也还算到位,很适合对古籍较为大致的了解",书的总体质量很不错
"如题,这本感觉不比第二本好。我原本是冲着魅力角色造型去的,以为是讲如何做人设。但是,看了书以后觉得不过是服饰的延续,它只是在教你如何画不同类型角色的衣服,而并没有说明要如何创建角色。",这本不如服饰
"没有问题,和商品描述相符",没问题
"帮同事买的,同事很喜欢,说很保温。",保温杯的质量
我觉得还不错吧 有点不能快速溶,还可以
"内容不错,不过不是全文,只是精简的。如果是全文就好了",可惜不是全文
"展示没发现什么问题,还好了。",还好吧!
"纸旧的很,不过内容不错。",纸
跟小时候的封面不太一样了 改版了吧 不过还是喜欢…留个纪念,儿时的回忆
"东东很好,性价比高~",不错
"书的质量很好,正版。内容比较简单,适合刚进入临床的住院医师们,我接触新生儿有一年了,感觉这本书偏简单了,不过还是有用的,碰到自己没有见过的病种,还是很有帮助的。",比较简单吧
"当时看是罗永浩推荐的,就买一本看看。到手了,还是只看了几十页。就和普通的历史书差不多:数字,百分之几的人怎么样,百分几的人又怎样。并不像介绍说如果你看到某些国家的人会不自主地自卑或自得,那么你就需要看这本书。总之,没什么感觉。最多不过增长点历史知识而已","如果不是特别希望了解美国种族,没买的必要"
"以前都买dlink了,才发现这个信号真不错,还便宜","性价比高,操作简单"
王金战的智慧和经验结晶。推荐。,高考数学经典
"多少年过去了,还是喜欢张之路老师的作品,叙事幽默,想象力丰富。 《霹雳贝贝》、《非法智慧》都是大爱的经典作品。 这部《有老鼠牌铅笔吗》也不错。","喜欢张之路老师的作品,读完后意犹未尽。"
"画得很逼真,有借用。",钟馗
这本书不错。中华医学是要改变一下人们对疾病的认知,这本书不错
"有漂亮的书签,很不错的书",形而上学
"L'OREAL PARIS巴黎欧莱雅多效修复去屑洗发露400ml,老婆一直用这个牌子,还行吧",L'OREAL PARIS巴黎欧莱雅多效修复去屑洗发露400ml
"我想告诉你的是,在维权的路上我从没败下阵来。 我退货的款为什么还不到我的银行卡上?已经一个多月了。我之前发的商品评论3次,为什么都被你们删去了?卓越你是大公司还是小作坊?前天客服谢亮答应给我把钱转到银行卡上,为什么现在还不到?你耍弄顾客? SKIN79钻石闪耀系列钻石光泽BB霜SPF25/PA++/40g 我选择货到付款免运费,你为什么要用我退货的钱,还要扣我运费?","你如果阻止我评论,我会奉陪到底。"
"适合小学生的小说,不错",适合小学生的
"货值,但是使用起来有些麻烦,还要申请一个电信号码",好
"很喜欢,三层不锈钢奶锅,用料很足,但是有些重....总体很美观",很喜欢
"比较一般,笼统,随便看看的就行,不要期望它能给多大启发。","比较一般,笼统,随便看看的就行,不要期望它能给多大启发。"
收到货了 还没开始看呢 网上评价这本书都不错的。。希望吧。。。,还不错的~
"很好哈,速度快,很喜欢",不错的书
还没看 感觉会很精彩 毕竟写这书的人不容易,看着书的介绍很好
确实不错哦 便宜又实惠  真的是谁买谁知道,确实不错哦 便宜又实惠
"给女友买的,所以对内容不评论。本人比较反感这类书,故只对纸质说几句:摸起来有些粗糙,印刷质量比较勉强。封面比较乱。发货速度比较快,这点赞一个。",不说内容
悲剧。是这样。诞生的。,爱尼采
考研用到了 很好  书的质量不错,很好
"纸质一般,书不大不厚,内容也不多,但还可以吧,就是吃货晚上看大概会饿得睡不着……",还不错吧
货收到了不错的很好给5分,收到了不错很好
"书有点脱胶,而且有明显折痕。",书有破旧
"不错,真的帮助了我,也帮助了我的同学。",不错。
"前几天60块的时候果断出手,今天拿到。刚翻了几页,感觉很好。",很好
"非常不错的东西,定焦头的版本更小巧,画质不错肉眼感觉比评测里边写的要好,对焦很给力,背景虚化不是特别好",非常不错的东西
"对于岩井俊二,我不得不说,他真的很有才华,简单的一个个短短的故事,就把他心中的一切表达的那样清楚",好看
"从高一的时候看了韩寒的《三重门》,觉着还有意思,虽然看过《像少年啦飞驰》之后觉着这本书时间和人物有点乱,不过等我上大学的时候看居然特别喜欢,也许那时没有共鸣的缘故,现在看来《像少年啦飞驰》是很好看的。我还喜欢《零下一度》其中的杯中窥人和穿着棉袄洗澡时他的新概念获奖文章,里面的其他的如小说都很经典的,百看不厌。还有《通稿2003》贬斥了很多人,读来很爽。   韩寒的语言犀利,有个性,骂人骂的也挺厉害,我喜欢他的风格。   一直关注他的博客,《杂的文》的文章基本都看了,但我还是忍不住买了,当时买时是16.3左右不知以后有没降价,现在还不时的看他的文章,就是喜欢,虽然看过了,还是想看。   韩寒经历了盗版,队友的离去,韩白的论战,还有跟高晓松的事情,韩寒都没有退缩过,还是一如既往地坚持自己的风格,汶川大地震他亲赴现场显示他的勇气和爱心。   韩寒是我的青春偶像,这本杂的文值得韩迷收藏,希望他写出更好的作品,也希望韩寒不要有太大的压力,终究做到自己能做到的进行了。",很欣赏韩寒
"还不错,价格实惠。孩子看了几本。","还不错,价格实惠。"
"书的纸质等看起来像盗版的,另外现在的包装很差,只有一个塑料袋,书很容易压坏,以前还有个缓冲塑料",书的质量不太好
"质量不错,带的擦布很好,",质量不错
"在卓越购书非常顺利,书拿到手后感觉也很好。以后还会支持卓越的。","送货及时,书精致"
"质量不错,不漏水,买回来先用开水加小苏打泡了一天,可去除部分有毒物质",质量不错
"快递神速,晚上7点下单,第二天中午就到了。外包装没问题,机子全新,连上网都要自己设置。目前暂时没有发现问题,算比较满意吧。对了,一些朋友反映,不满意5键陷下去,以为是坏的,从而向卓越投诉,我替卓越无奈啊,人家诺基亚故意做成这样的啊,就像电脑键盘的f键一样啊。",还行!
"非常好,同商场一样噶质量,价钱就便宜很多,赞",好
"还没仔细看,不过很期待",看起来还不错
"书的内容和纸张还将就,但是装订真的不敢恭维,很多都印斜了,真怀疑是不是盗版的",半喜半愁
"看介绍时说刮痧板是牛角材质,检查的时候就知道不是。不过懒得退","刮痧板不好,其他的不错"
和课程很搭配 发货很快,"蛮好的,案例很适合复习"
很好用~非常喜欢~~,很好用~非常喜欢~~
"我觉得这本词汇书很好,很有针对性,而且光碟有三种模式的播放形式,方便自我检测与跟读!",很好
"这是我第二次购买此书了。。。实在放不下。。。想日夜放在枕头边。。。 结果大失所望,纸张实在是太烂了,像盗版。。。强烈要求。。。你价格要低下来,那是你的事,但纸张不能低下来呀。。。 哎,要不是朋友借出去没送回来,不会读如此烂纸张的书籍。。。一共买了几本,就这本纸张最烂。。。","纸张太烂了,像盗版。"
这样的讲解很有利于记忆吧,容易
"这个版本,适合于很多历史军事方面不懂的人看 书是一半对一半,左边评注,右边才是翻译内容 评注里面有不少作者自己的观点,还有一些事件解析 但是我个人感觉不需要,因为大部分事件我都略知一二,不需要这么多评注。而且评论太多,要不然一本书就出完了,完全不需要两本书 早知道直接买翻译版的,看的挺累。但是适合很多都不了解的人看,这样不会有些地方看不懂。 配图倒是还行,有点图片的书看的怎么都舒服一点 算不上精装,普装吧,很想买本精装收藏,不知道哪本好。 纸上柔光的,印刷还可以 包装因为不是亚马逊配送,也不是自己的书,不敢恭维,配送速度,跟包装不解释,买了三本,有一本都给压皱了!",适合于不懂的人
"疯了,有点冷,却又让人觉得有点小聪明",宝~~~
"我已经买了好几本了,带动了同事,现在孩子们都在看笑猫,很好,故事温馨,“小猫出生在秘密山洞”这本我看的都哭了,太感人了,值得推荐。",推荐
"酒精味挺浓的,跟以前用的有点不一样了呢~",疑惑中···
还没看完 大致不错,还不错
对于西语学习有很大的帮助,非常好
"收到货了,这一组盒子大的大小的小,不实用",不实用
恩 到手了  挺好的  支持 !,不错
"速度真的很快,服务也非常好^_^!希望书也很不错,会有我需要的。",很好
是喜欢碟子本身 和卓越干系不大,。
好好看的一本书!好有英伦风,依辰姐
"刚拿到书,翻来看了下,没有想象中的厚,但是貌似比较实用",还不错
"强烈建议喜欢林妹妹的人不要看这一本,绝对气得血压上升 开篇就在反复强调真玉假玉的问题,力图从根本上摸消林妹妹配宝玉的官方配对 还直接在评语里写林妹妹刻薄之类的 喜欢林妹妹的 强烈建议不要看这本 买了也别看那里面写的周按(周汝昌先生的评语) 会吐血的",特别喜欢林妹妹的人建议不要看这本书
"加拿大是我比较喜欢的一个国家,读这本书,一幅全景的加拿大展示在我的眼前,许多以前似懂非懂的有关加拿大的知识都能在这本书里很到权威的精彩解读,看起来很过瘾!",一个全景加拿大的展示。
"内容不错,喜欢心理学的可以看看。字数不多,一天就能看完。",书不错
"一拆开包装就查了伪,是正品,用着很舒服~","只正品,很好用"
很好的一本书 推荐!!,车尔尼钢琴初步教程作品599
"老版本翻印的,对此有研究的是工具书.初涉此道还是买有注音和简体字字首的好. 倒是不贵,也可以拿自己当老手要求啊!",老版本
"〈神秘的大洋〉一书若图片和插图再丰富一些,完全可以当中学教科书来用。 若一名初高中生对此书爱不释手,则考大学对其来讲不是能不能考上的问题而是愿不愿意的事情了。因为他有对世界有浓厚的兴趣,有强烈的求知欲,有了自己的世界观。 开阔眼界,增长知识。 大力推荐。",蓝色文明
"壶整体还不错,就是4个小杯子的边缘是磨了边的,磨得不平整,容易挂上嘴唇!",不错的套杯
"这本书是和《猫咪绘》一起买的,照着画了一幅,很有成就感!",喜欢
"昨天下午在书店看到这本书,晚上回来就在亚马逊上买了,发货可谓神速,第二天早上9点多书就到了。这本书价格有点小贵啦,但是内容很受用,用心看的话会学到很多东西,内容引人入胜,让人看上几个小时也不会觉得乏味枯燥。在不断学习中得到一个新的认知。值得推荐,虽然价格贵点,但是好东西,肯定有它的价值所在的!",很棒 很受用
"媒体传的很好,如果说没有那么好,很容易让人觉得欣赏能力不够。她与前夫各持一词,我觉得洪君彦的更可信。章的生母是上海滩有名的交际花,作为章士钊的养女,等于美丽和名门于一身。但这本书个人觉得不是很好。",一般
"上网速度还不错,外观尚好,待机较长。",品质不错
"快递还是很给力得,但是当自己看这本书的时候就彻底无语了,真的是错别字连篇啊,书的装订也不好,后悔",伤心
"值得认真看看, 虽然不讲具体方法,确是投机真谛。 菜鸟读了可以入门, 高手读了可以提高, 大师们的一生,都有其相似的一面。",理论性和实用性完美结合
"电池不能拆,有点不满意。",质量挺好。
"不多说,质量内容全过关",超爱
"还未看,但是内容与包装均不错,要静下心来看",不错
"1次买了3块,足以说明一切了吧。",性价比高
"书很不错,值得一看书很不错,值得一看","书很不错,值得一看"
"上次从网上买了一个联想的鼠标,定位不准,手感也不好,还经常自己移位;以前没用过雷神的,试用手感不错,用着舒服,外观漂亮,定位也不错,我不是用来打游戏的,但是多了两个侧键,浏览网页时可以在鼠标上上下翻页,感觉不错。","这个必须赞一下,超出预期的好。"
"书是挺好的,分类讲解等较详细。可书打折太少了,真心觉得有点小贵。 卖家服务态度也很好。 可明明是书价是49.3元,快递费非要收50元,真是的。",书挺好的。
"网上查不到该鼠标,属假货??",鼠标失灵
感觉这本书很不错  锻炼小孩的记忆和识别能力  真的很好,这本书很不错  很喜欢
"这本是不错,内容充实,送来的时候也木有破损",很好
还可以是在朋友的推荐下买的,不错
"支持小卷的作品,很有趣的故事",花非花
总之这本书是我买过最好的法语词汇书了,词汇联想比较创新
"我一次买了两本碑帖,对比下来,还是觉得多宝塔碑贴更好一点,也更清楚一点",挺好的
"内容真的很不错,从浅至深。",真的不错
"外包装太差了,钱包看着还行,就不知道用几个月后质量怎样啦",评论
"很满意很对女儿的心,希望下次能买得更便宜",很满意
"质量不错,希望卓越越办越好",是正品
"物美价廉,设计美观都很好。用起来不错",无线鼠标真好
"书还没看完,封面和书里的海报都很震撼,贝尔太帅了!",封面很震撼
我很喜欢~~买到第三本好开心!!,爱!~
"字小,但发货速度很快,纸张的质量还不错,感觉还行。。",字小
"还没有仔细的看,但拿在手中感觉不好,书的质量很好,看起来好舒服",不错
"装帧精美,版本权威,价格便宜。真的很喜欢!",喜欢
"看到这本书就没兴趣了,以后坚决不买励志书,呃呃呃,手一抖就点了",还没看
货已经收到 比自己想象的要好 很好啊 一次性买了五本 不后悔  看完接着买哈,非常好
"印刷精致,手感很不错。内容错误不少","印刷精致,手感很不错。内容错误不少"
"封面精美,而且字体印刷清晰,不枉我买了这本书。","该书形状小,拿在手上很舒适"
